id,Nama,Nomor Whatssap,Jenis kelamin,Pendidikan terakhir,Lama pengalaman (tahun),Jumlah lansia pernah dirawat,Umur,Keahlian,Mengurus rumah,Membantu pergerakan dan aktivitas fisik,Membantu konsumsi obat dan makanan,Mengecek kesehatan rutin secara mandiri,Mendampingi dan menjaga,Memasangkan alat medis khusus,Memeriksakan rutin ke dokter,Indonesia,Inggris,Jawa,Sunda,Melayu,Kota,Gaji
1,Aaron Palumbo,+62 868-9773-676,1,5,12,4,33,0.14,0,0,1,1,0,1,1,1,1,0,0,0,KOTA BANDAR LAMPUNG,1060000
2,Abdullah Machmud,+62 883-7444-6228,1,5,13,12,36,0.43,1,0,1,0,0,1,0,1,1,1,0,1,KABUPATEN BOJONEGORO,830000
3,Abi Falah,+62 855-4764-6817,0,1,1,1,24,0.71,0,1,1,1,0,0,1,1,1,0,0,0,KOTA SORONG,1590000
4,Abi Irmha Melinda,+62 897-8272-6717,0,2,4,0,39,0.86,1,1,1,0,1,1,1,1,0,0,1,0,KABUPATEN KEPULAUAN SULA,1820000
5,Abi Tanjung,+62 857-1573-4004,0,1,2,0,35,0,1,0,0,0,0,0,1,1,0,0,1,0,KABUPATEN SERDANG BEDAGAI,1930000
6,Achmad Apriyanto,+62 869-8688-593,1,5,10,6,34,0.14,1,1,0,1,1,0,0,1,0,1,0,0,KABUPATEN SERAM BAGIAN TIMUR,1940000
7,Achmad Ilyas Hafizh,+62 819-8840-818,1,3,11,1,31,0,0,1,0,0,0,0,1,1,0,1,0,0,KABUPATEN BERAU,1300000
8,Adam Fauzi,+62 839-415-377,1,5,5,4,26,0.43,1,1,0,0,1,1,0,1,0,1,1,0,KABUPATEN ADM. KEP. SERIBU,1440000
9,Adam Islam,+62 831-8449-54464,1,5,0,0,39,0.43,0,0,0,1,0,1,1,1,0,0,1,0,KOTA PRABUMULIH,1250000
10,Adhim Apriyani,+62 880-3591-07857,1,5,8,0,30,1,1,0,1,1,1,0,0,0,1,0,0,0,KABUPATEN BANTUL,660000
11,Adhim Jordy,+62 815-3358-959,1,5,1,1,24,0.43,0,0,0,0,0,1,1,1,0,0,0,1,KABUPATEN BELU,1330000
